table_name,column_name,data_type,is_nullable,column_default
approval_requests,id,integer,NO,nextval('approval_requests_id_seq'::regclass)
approval_requests,entity_type,character varying,NO,
approval_requests,entity_id,integer,YES,
approval_requests,action_type,character varying,NO,
approval_requests,status,USER-DEFINED,NO,
approval_requests,maker_user_id,integer,NO,
approval_requests,checker_user_id,integer,YES,
approval_requests,request_details,json,YES,
approval_requests,lg_record_snapshot,json,YES,
approval_requests,created_at,timestamp with time zone,YES,now()
approval_requests,updated_at,timestamp with time zone,YES,
approval_requests,customer_id,integer,NO,
approval_requests,reason,text,YES,
approval_requests,withdrawn_at,timestamp with time zone,YES,
approval_requests,internal_owner_contact_id,integer,YES,
approval_requests,related_instruction_id,integer,YES,
approval_requests,last_renewal_reminder_sent_at,timestamp with time zone,YES,
audit_logs,id,integer,NO,nextval('audit_logs_id_seq'::regclass)
audit_logs,user_id,integer,YES,
audit_logs,action_type,character varying,NO,
audit_logs,entity_type,character varying,NO,
audit_logs,entity_id,integer,YES,
audit_logs,details,json,YES,
audit_logs,timestamp,timestamp with time zone,YES,now()
audit_logs,ip_address,character varying,YES,
audit_logs,customer_id,integer,YES,
audit_logs,lg_record_id,integer,YES,
bank_issuance_options,bank_id,integer,NO,
bank_issuance_options,strategy_code,character varying,NO,
bank_issuance_options,display_name,character varying,NO,
bank_issuance_options,configuration,jsonb,NO,
bank_issuance_options,is_active,boolean,YES,
bank_issuance_options,id,integer,NO,nextval('bank_issuance_options_id_seq'::regclass)
bank_issuance_options,created_at,timestamp with time zone,YES,now()
bank_issuance_options,updated_at,timestamp with time zone,YES,
bank_issuance_options,is_deleted,boolean,YES,
bank_issuance_options,deleted_at,timestamp with time zone,YES,
bank_position_batches,bank_id,integer,NO,
bank_position_batches,as_of_date,date,NO,
bank_position_batches,uploaded_by_user_id,integer,YES,
bank_position_batches,total_records,integer,YES,
bank_position_batches,matched_records,integer,YES,
bank_position_batches,created_at,timestamp with time zone,YES,now()
bank_position_batches,id,integer,NO,nextval('bank_position_batches_id_seq'::regclass)
bank_position_batches,updated_at,timestamp with time zone,YES,
bank_position_batches,is_deleted,boolean,YES,
bank_position_batches,deleted_at,timestamp with time zone,YES,
bank_position_rows,batch_id,integer,NO,
bank_position_rows,ref_number,character varying,NO,
bank_position_rows,amount,numeric,NO,
bank_position_rows,currency_code,character varying,YES,
bank_position_rows,status_in_bank,character varying,YES,
bank_position_rows,recon_status,character varying,YES,
bank_position_rows,recon_note,character varying,YES,
bank_position_rows,id,integer,NO,nextval('bank_position_rows_id_seq'::regclass)
bank_position_rows,created_at,timestamp with time zone,YES,now()
bank_position_rows,updated_at,timestamp with time zone,YES,
bank_position_rows,is_deleted,boolean,YES,
bank_position_rows,deleted_at,timestamp with time zone,YES,
banks,name,character varying,NO,
banks,address,character varying,YES,
banks,phone_number,character varying,YES,
banks,fax,character varying,YES,
banks,former_names,json,YES,
banks,swift_code,character varying,YES,
banks,short_name,character varying,YES,
banks,id,integer,NO,nextval('banks_id_seq'::regclass)
banks,created_at,timestamp with time zone,YES,now()
banks,updated_at,timestamp with time zone,YES,
banks,is_deleted,boolean,YES,
banks,deleted_at,timestamp with time zone,YES,
currencies,name,character varying,NO,
currencies,iso_code,character varying,NO,
currencies,symbol,character varying,YES,
currencies,id,integer,NO,nextval('currencies_id_seq'::regclass)
currencies,created_at,timestamp with time zone,YES,now()
currencies,updated_at,timestamp with time zone,YES,
currencies,is_deleted,boolean,YES,
currencies,deleted_at,timestamp with time zone,YES,
currency_exchange_rates,id,integer,NO,nextval('currency_exchange_rates_id_seq'::regclass)
currency_exchange_rates,currency_id,integer,NO,
currency_exchange_rates,buy_rate,double precision,NO,
currency_exchange_rates,sell_rate,double precision,NO,
currency_exchange_rates,rate_date,date,NO,
currency_exchange_rates,created_at,timestamp without time zone,YES,
customer_configurations,customer_id,integer,NO,
customer_configurations,global_config_id,integer,NO,
customer_configurations,configured_value,character varying,NO,
customer_configurations,id,integer,NO,nextval('customer_configurations_id_seq'::regclass)
customer_configurations,created_at,timestamp with time zone,YES,now()
customer_configurations,updated_at,timestamp with time zone,YES,
customer_configurations,is_deleted,boolean,YES,
customer_configurations,deleted_at,timestamp with time zone,YES,
customer_email_settings,customer_id,integer,NO,
customer_email_settings,smtp_host,character varying,NO,
customer_email_settings,smtp_port,integer,NO,
customer_email_settings,smtp_username,character varying,NO,
customer_email_settings,smtp_password_encrypted,character varying,NO,
customer_email_settings,sender_email,character varying,NO,
customer_email_settings,sender_display_name,character varying,YES,
customer_email_settings,is_active,boolean,NO,
customer_email_settings,id,integer,NO,nextval('customer_email_settings_id_seq'::regclass)
customer_email_settings,created_at,timestamp with time zone,YES,now()
customer_email_settings,updated_at,timestamp with time zone,YES,
customer_email_settings,is_deleted,boolean,YES,
customer_email_settings,deleted_at,timestamp with time zone,YES,
customer_entities,entity_name,character varying,NO,
customer_entities,address,character varying,YES,
customer_entities,commercial_register_number,character varying,YES,
customer_entities,tax_id,character varying,YES,
customer_entities,code,character varying,NO,
customer_entities,contact_person,character varying,YES,
customer_entities,contact_email,character varying,YES,
customer_entities,is_active,boolean,NO,
customer_entities,customer_id,integer,NO,
customer_entities,id,integer,NO,nextval('customer_entities_id_seq'::regclass)
customer_entities,created_at,timestamp with time zone,YES,now()
customer_entities,updated_at,timestamp with time zone,YES,
customer_entities,is_deleted,boolean,YES,
customer_entities,deleted_at,timestamp with time zone,YES,
customers,name,character varying,NO,
customers,address,character varying,YES,
customers,contact_email,character varying,NO,
customers,contact_phone,character varying,YES,
customers,subscription_plan_id,integer,NO,
customers,start_date,timestamp with time zone,YES,now()
customers,end_date,timestamp with time zone,NO,
customers,status,USER-DEFINED,NO,
customers,active_user_count,integer,NO,
customers,active_lg_count,integer,NO,
customers,id,integer,NO,nextval('customers_id_seq'::regclass)
customers,created_at,timestamp with time zone,YES,now()
customers,updated_at,timestamp with time zone,YES,
customers,is_deleted,boolean,YES,
customers,deleted_at,timestamp with time zone,YES,
customers,active_checker_count,integer,NO,0
customers,active_issuance_lg_count,integer,NO,0
external_bank,id,integer,NO,nextval('external_bank_id_seq'::regclass)
external_bank,name,character varying,NO,
external_bank,contact_email,character varying,YES,
external_bank,address,character varying,YES,
external_bank,country,character varying,YES,
external_bank,swift_code,character varying,YES,
external_bank,created_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
external_bank,updated_at,timestamp with time zone,YES,
external_bank,is_deleted,boolean,YES,false
external_bank,deleted_at,timestamp with time zone,YES,
facilities,customer_id,integer,NO,
facilities,bank_id,integer,NO,
facilities,facility_type,USER-DEFINED,NO,
facilities,total_limit,numeric,NO,
facilities,utilized_amount,numeric,NO,
facilities,currency_id,integer,NO,
facilities,status,USER-DEFINED,NO,
facilities,expiry_date,date,NO,
facilities,pricing_details,jsonb,YES,
facilities,bank_sla_days,integer,YES,
facilities,special_conditions,text,YES,
facilities,parent_facility_id,integer,YES,
facilities,has_all_entity_access,boolean,NO,
facilities,id,integer,NO,nextval('facilities_id_seq'::regclass)
facilities,created_at,timestamp with time zone,YES,now()
facilities,updated_at,timestamp with time zone,YES,
facilities,is_deleted,boolean,YES,
facilities,deleted_at,timestamp with time zone,YES,
facility_customer_entity_association,facility_id,integer,NO,
facility_customer_entity_association,customer_entity_id,integer,NO,
facility_documents,facility_id,integer,NO,
facility_documents,document_type,character varying,NO,
facility_documents,file_name,character varying,NO,
facility_documents,file_path,character varying,NO,
facility_documents,uploaded_by_user_id,integer,NO,
facility_documents,id,integer,NO,nextval('facility_documents_id_seq'::regclass)
facility_documents,created_at,timestamp with time zone,YES,now()
facility_documents,updated_at,timestamp with time zone,YES,
facility_documents,is_deleted,boolean,YES,
facility_documents,deleted_at,timestamp with time zone,YES,
facility_selection_rules,customer_id,integer,NO,
facility_selection_rules,parameter_name,USER-DEFINED,NO,
facility_selection_rules,priority_rank,integer,NO,
facility_selection_rules,id,integer,NO,nextval('facility_selection_rules_id_seq'::regclass)
facility_selection_rules,created_at,timestamp with time zone,YES,now()
facility_selection_rules,updated_at,timestamp with time zone,YES,
facility_selection_rules,is_deleted,boolean,YES,
facility_selection_rules,deleted_at,timestamp with time zone,YES,
global_configurations,key,USER-DEFINED,NO,
global_configurations,value_min,character varying,YES,
global_configurations,value_max,character varying,YES,
global_configurations,value_default,character varying,YES,
global_configurations,unit,character varying,YES,
global_configurations,description,character varying,YES,
global_configurations,id,integer,NO,nextval('global_configurations_id_seq'::regclass)
global_configurations,created_at,timestamp with time zone,YES,now()
global_configurations,updated_at,timestamp with time zone,YES,
global_configurations,is_deleted,boolean,YES,
global_configurations,deleted_at,timestamp with time zone,YES,
internal_owner_contacts,customer_id,integer,NO,
internal_owner_contacts,email,character varying,NO,
internal_owner_contacts,phone_number,character varying,NO,
internal_owner_contacts,internal_id,character varying,YES,
internal_owner_contacts,manager_email,character varying,NO,
internal_owner_contacts,id,integer,NO,nextval('internal_owner_contacts_id_seq'::regclass)
internal_owner_contacts,created_at,timestamp with time zone,YES,now()
internal_owner_contacts,updated_at,timestamp with time zone,YES,
internal_owner_contacts,is_deleted,boolean,YES,
internal_owner_contacts,deleted_at,timestamp with time zone,YES,
issuance_actions,issuance_request_id,integer,NO,
issuance_actions,step_approver_id,integer,NO,
issuance_actions,status,character varying,YES,
issuance_actions,acted_by_user_id,integer,YES,
issuance_actions,timestamp,timestamp with time zone,YES,
issuance_actions,comments,text,YES,
issuance_actions,id,integer,NO,nextval('issuance_actions_id_seq'::regclass)
issuance_actions,created_at,timestamp with time zone,YES,now()
issuance_actions,updated_at,timestamp with time zone,YES,
issuance_actions,is_deleted,boolean,YES,
issuance_actions,deleted_at,timestamp with time zone,YES,
issuance_approval_matrices,customer_id,integer,NO,
issuance_approval_matrices,action_type,character varying,NO,
issuance_approval_matrices,name,character varying,NO,
issuance_approval_matrices,id,integer,NO,nextval('issuance_approval_matrices_id_seq'::regclass)
issuance_approval_matrices,created_at,timestamp with time zone,YES,now()
issuance_approval_matrices,updated_at,timestamp with time zone,YES,
issuance_approval_matrices,is_deleted,boolean,YES,
issuance_approval_matrices,deleted_at,timestamp with time zone,YES,
issuance_approval_steps,matrix_id,integer,NO,
issuance_approval_steps,step_number,integer,NO,
issuance_approval_steps,approver_type,character varying,NO,
issuance_approval_steps,id,integer,NO,nextval('issuance_approval_steps_id_seq'::regclass)
issuance_approval_steps,created_at,timestamp with time zone,YES,now()
issuance_approval_steps,updated_at,timestamp with time zone,YES,
issuance_approval_steps,is_deleted,boolean,YES,
issuance_approval_steps,deleted_at,timestamp with time zone,YES,
issuance_facilities,bank_id,integer,NO,
issuance_facilities,customer_id,integer,NO,
issuance_facilities,reference_number,character varying,YES,
issuance_facilities,currency_id,integer,NO,
issuance_facilities,total_limit_amount,numeric,NO,
issuance_facilities,start_date,date,YES,
issuance_facilities,expiry_date,date,YES,
issuance_facilities,review_date,date,YES,
issuance_facilities,is_active,boolean,YES,
issuance_facilities,contract_document_path,character varying,YES,
issuance_facilities,id,integer,NO,nextval('issuance_facilities_id_seq'::regclass)
issuance_facilities,created_at,timestamp with time zone,YES,now()
issuance_facilities,updated_at,timestamp with time zone,YES,
issuance_facilities,is_deleted,boolean,YES,
issuance_facilities,deleted_at,timestamp with time zone,YES,
issuance_facility_sub_limits,facility_id,integer,NO,
issuance_facility_sub_limits,lg_type_id,integer,YES,
issuance_facility_sub_limits,limit_name,character varying,NO,
issuance_facility_sub_limits,limit_amount,numeric,NO,
issuance_facility_sub_limits,default_commission_rate,double precision,YES,
issuance_facility_sub_limits,default_cash_margin_pct,double precision,YES,
issuance_facility_sub_limits,default_min_commission,numeric,YES,
issuance_facility_sub_limits,id,integer,NO,nextval('issuance_facility_sub_limits_id_seq'::regclass)
issuance_facility_sub_limits,created_at,timestamp with time zone,YES,now()
issuance_facility_sub_limits,updated_at,timestamp with time zone,YES,
issuance_facility_sub_limits,is_deleted,boolean,YES,
issuance_facility_sub_limits,deleted_at,timestamp with time zone,YES,
issuance_requests,customer_id,integer,NO,
issuance_requests,requestor_user_id,integer,YES,
issuance_requests,requestor_name,character varying,YES,
issuance_requests,transaction_type,character varying,NO,
issuance_requests,lg_record_id,integer,YES,
issuance_requests,status,character varying,YES,
issuance_requests,amount,numeric,NO,
issuance_requests,currency_id,integer,NO,
issuance_requests,beneficiary_name,character varying,YES,
issuance_requests,requested_issue_date,date,YES,
issuance_requests,requested_expiry_date,date,YES,
issuance_requests,business_details,jsonb,YES,
issuance_requests,id,integer,NO,nextval('issuance_requests_id_seq'::regclass)
issuance_requests,created_at,timestamp with time zone,YES,now()
issuance_requests,updated_at,timestamp with time zone,YES,
issuance_requests,is_deleted,boolean,YES,
issuance_requests,deleted_at,timestamp with time zone,YES,
issuance_step_approvers,step_id,integer,NO,
issuance_step_approvers,user_id,integer,YES,
issuance_step_approvers,role,USER-DEFINED,YES,
issuance_step_approvers,id,integer,NO,nextval('issuance_step_approvers_id_seq'::regclass)
issuance_step_approvers,created_at,timestamp with time zone,YES,now()
issuance_step_approvers,updated_at,timestamp with time zone,YES,
issuance_step_approvers,is_deleted,boolean,YES,
issuance_step_approvers,deleted_at,timestamp with time zone,YES,
issuance_step_conditions,step_id,integer,NO,
issuance_step_conditions,field_name,character varying,NO,
issuance_step_conditions,operator,character varying,NO,
issuance_step_conditions,value,character varying,NO,
issuance_step_conditions,id,integer,NO,nextval('issuance_step_conditions_id_seq'::regclass)
issuance_step_conditions,created_at,timestamp with time zone,YES,now()
issuance_step_conditions,updated_at,timestamp with time zone,YES,
issuance_step_conditions,is_deleted,boolean,YES,
issuance_step_conditions,deleted_at,timestamp with time zone,YES,
issuance_workflow_policies,customer_id,integer,NO,
issuance_workflow_policies,min_amount,numeric,YES,
issuance_workflow_policies,max_amount,numeric,YES,
issuance_workflow_policies,step_sequence,integer,YES,
issuance_workflow_policies,approver_role_name,character varying,YES,
issuance_workflow_policies,specific_approver_user_id,integer,YES,
issuance_workflow_policies,id,integer,NO,nextval('issuance_workflow_policies_id_seq'::regclass)
issuance_workflow_policies,created_at,timestamp with time zone,YES,now()
issuance_workflow_policies,updated_at,timestamp with time zone,YES,
issuance_workflow_policies,is_deleted,boolean,YES,
issuance_workflow_policies,deleted_at,timestamp with time zone,YES,
issued_lg_records,lg_ref_number,character varying,NO,
issued_lg_records,customer_id,integer,NO,
issued_lg_records,facility_sub_limit_id,integer,YES,
issued_lg_records,beneficiary_name,character varying,NO,
issued_lg_records,current_amount,numeric,NO,
issued_lg_records,currency_id,integer,NO,
issued_lg_records,issue_date,date,NO,
issued_lg_records,expiry_date,date,YES,
issued_lg_records,status,character varying,YES,
issued_lg_records,id,integer,NO,nextval('issued_lg_records_id_seq'::regclass)
issued_lg_records,created_at,timestamp with time zone,YES,now()
issued_lg_records,updated_at,timestamp with time zone,YES,
issued_lg_records,is_deleted,boolean,YES,
issued_lg_records,deleted_at,timestamp with time zone,YES,
issuing_methods,name,character varying,NO,
issuing_methods,description,character varying,YES,
issuing_methods,id,integer,NO,nextval('issuing_methods_id_seq'::regclass)
issuing_methods,created_at,timestamp with time zone,YES,now()
issuing_methods,updated_at,timestamp with time zone,YES,
issuing_methods,is_deleted,boolean,YES,
issuing_methods,deleted_at,timestamp with time zone,YES,
legal_artifacts,artifact_type,character varying,NO,
legal_artifacts,version,double precision,NO,
legal_artifacts,content,text,NO,
legal_artifacts,url,character varying,YES,
legal_artifacts,id,integer,NO,nextval('legal_artifacts_id_seq'::regclass)
legal_artifacts,created_at,timestamp with time zone,YES,now()
legal_artifacts,updated_at,timestamp with time zone,YES,
legal_artifacts,is_deleted,boolean,YES,
legal_artifacts,deleted_at,timestamp with time zone,YES,
lg_applicant_records,customer_id,integer,NO,
lg_applicant_records,applicant_entity_id,integer,NO,
lg_applicant_records,issuing_bank_id,integer,NO,
lg_applicant_records,facility_id,integer,YES,
lg_applicant_records,beneficiary_name,character varying,NO,
lg_applicant_records,beneficiary_address,text,YES,
lg_applicant_records,lg_number,character varying,NO,
lg_applicant_records,lg_amount,numeric,NO,
lg_applicant_records,lg_currency_id,integer,NO,
lg_applicant_records,issuance_date,date,NO,
lg_applicant_records,expiry_date,date,NO,
